Annee,Fenetre_Lookback,Jours_Entrainement,Levier,Capital_Fin,Performance
2021,1 An,252,3,697830.7260555235,-0.30216927394447646
2021,1 An,252,4,574523.8721343377,-0.42547612786566236
2021,1 An,252,5,517955.2396643502,-0.4820447603356498
2021,1 An,252,6,467768.39567031234,-0.5322316043296876
2021,1 An,252,7,427834.8766036092,-0.5721651233963908
2021,1 An,252,8,404198.55972567125,-0.5958014402743288
2021,1 An,252,9,386695.2161600742,-0.6133047838399257
2021,1 An,252,10,371353.4171525569,-0.6286465828474431
2021,1 An,252,11,354827.43715894566,-0.6451725628410543
2021,1 An,252,12,336650.7333871075,-0.6633492666128925
2021,1 An,252,13,314777.4006770629,-0.685222599322937
2021,1 An,252,14,296252.4399806741,-0.7037475600193259
2021,1 An,252,15,281254.7925432085,-0.7187452074567915
2021,1.5 Ans,378,1,867441.6980822994,-0.13255830191770057
2021,1.5 Ans,378,2,764423.2581068974,-0.23557674189310263
2021,1.5 Ans,378,3,701043.2904132799,-0.29895670958672005
2021,1.5 Ans,378,4,648878.0912128004,-0.3511219087871996
2021,1.5 Ans,378,5,621085.1610697897,-0.3789148389302104
2021,1.5 Ans,378,6,596802.5449808246,-0.4031974550191755
2021,1.5 Ans,378,7,557039.11006235,-0.4429608899376499
2021,1.5 Ans,378,8,504050.7323271469,-0.4959492676728531
2021,1.5 Ans,378,9,474801.8808877135,-0.5251981191122865
2021,1.5 Ans,378,10,452161.99553647626,-0.5478380044635238
2021,1.5 Ans,378,11,433978.7459310857,-0.5660212540689142
2021,1.5 Ans,378,12,415421.9170648749,-0.584578082935125
2021,1.5 Ans,378,13,394731.2645179981,-0.6052687354820019
2021,1.5 Ans,378,14,378879.4996623799,-0.6211205003376201
2021,1.5 Ans,378,15,363796.0631362833,-0.6362039368637167
2021,2 Ans,504,1,872728.1691541987,-0.1272718308458013
2021,2 Ans,504,2,750236.3536858323,-0.2497636463141677
2021,2 Ans,504,3,707645.2736147833,-0.29235472638521665
2021,2 Ans,504,4,685000.8468331277,-0.3149991531668723
2021,2 Ans,504,5,658557.6453412022,-0.3414423546587978
2021,2 Ans,504,6,610650.9460125957,-0.3893490539874044
2021,2 Ans,504,7,562313.668343785,-0.43768633165621507
2021,2 Ans,504,8,526032.2609629567,-0.47396773903704326
2021,2 Ans,504,9,492089.64937244734,-0.5079103506275526
2021,2 Ans,504,10,450491.0480491074,-0.5495089519508926
2021,2 Ans,504,11,399932.9850654009,-0.6000670149345991
2021,2 Ans,504,12,346600.1559818005,-0.6533998440181995
2021,2 Ans,504,13,296565.1631006836,-0.7034348368993164
2021,2 Ans,504,14,271050.3927955374,-0.7289496072044626
2021,2 Ans,504,15,255302.09154329647,-0.7446979084567036
2021,3 Ans,756,1,941562.3358995339,-0.058437664100466025
2021,3 Ans,756,2,781816.9980523838,-0.2181830019476162
2021,3 Ans,756,3,650240.3802159161,-0.3497596197840839
2021,3 Ans,756,4,595004.6911603756,-0.4049953088396244
2021,3 Ans,756,5,548264.4849908254,-0.45173551500917464
2021,3 Ans,756,6,515344.1642836459,-0.48465583571635407
2021,3 Ans,756,7,495590.66885271866,-0.5044093311472813
2021,3 Ans,756,8,488233.8388840071,-0.5117661611159929
2021,3 Ans,756,9,484693.8411650675,-0.5153061588349325
2021,3 Ans,756,10,477384.8626509317,-0.5226151373490683
2021,3 Ans,756,11,466159.8897160178,-0.5338401102839823
2021,3 Ans,756,12,462021.7725761867,-0.5379782274238133
2021,3 Ans,756,13,459657.14293377043,-0.5403428570662296
2021,3 Ans,756,14,456266.69741073885,-0.5437333025892612
2021,3 Ans,756,15,455864.34193223476,-0.5441356580677652
